|CASE NUMBER|SR LOCATION|COUNTY|DISTRICT|NEIGHBORHOOD|TAX ID|TRASH QUAD|RECYCLE QUAD|TRASH DAY|HEAVY TRASH DAY|RECYCLE DAY|KEY MAP|MANAGEMENT DISTRICT|DEPARTMENT|DIVISION|SR TYPE|QUEUE|SLA|STATUS|SR CREATE DATE|DUE DATE|DATE CLOSED|OVERDUE|Title|x|y|LATITUDE|LONGITUDE|Channel Type
68546|11618084-101000953164|Intersection 346 LITCHFIELD LN&12504 MEMORIAL DR|Harris County|G|MEMORIAL|||||||489M||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-03-23 20:30:19|2013-03-26 20:30:19|2013-03-26 14:45:01|-0.24|Flooding|3062706.37706|13842297.1958|29.76626583|-95.55057526|Voice In
76552|11621061-101000962634|2519 TEAGUE, HOUSTON TX 77080|HARRIS|A|SPRING BRANCH NORTH|0975020000059|NW|NE|FRIDAY|4th Friday|FRIDAY-A|450N|Spring Branch MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-02 23:26:22|2013-04-05 23:26:22|2013-04-03 14:45:02|-2.36|Flooding|3065009.98|13860967.23|29.81739864|-95.54157753|Voice In
76553|11621062-101000962635|10050 LARSTON, HOUSTON TX 77055|HARRIS|A|SPRING BRANCH WEST|0890260000021|NW|NE|FRIDAY|4th Wednesday|FRIDAY-A|450W|Spring Branch MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-02 23:29:51|2013-04-05 23:29:51|2013-04-03 14:25:07|-2.38|Flooding|||29.78941768|-95.54311123|WEB
76571|11621071-101000962653|2527 TEAGUE, HOUSTON TX 77080|HARRIS|A|SPRING BRANCH NORTH|0975020000057|NW|SW|FRIDAY|4th Friday|Friday-a|450N|Spring Branch|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-03 00:51:51|2013-04-06 00:51:50|2013-04-03 14:45:02|-2.42|Flooding|3065019.06|13861127.21|||Voice In
76594|11621082-101000962676|3830 BERAN, HOUSTON TX 77045|HARRIS|K|CENTRAL SOUTHWEST|0931010000008|SW|SW|FRIDAY|4th Monday|FRIDAY-B|572J|Five Corners HCID #10B|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-03 01:55:45|2013-04-06 01:55:45|2013-04-03 14:05:02|-2.49|Flooding|3100477.38|13794305.7|29.63123199|-95.43618564|Voice In
77045|11621251-101000963135|2507 TEAGUE, HOUSTON TX 77080|HARRIS|A|SPRING BRANCH NORTH|0975020000062|NW|NW|FRIDAY|4th Friday|Friday-a|450N|Spring Branch MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-03 09:31:49|2013-04-06 09:31:49|2013-04-03 14:45:02|-2.78|Flooding|3065009.99|13860726.57|29.81673712|-95.54159994|Voice In
77088|11621271-101000963181|6206 PADDINGTON, HOUSTON TX 77085|HARRIS|K|CENTRAL SOUTHWEST|0952930000011|SW|SW|FRIDAY|4th Wednesday|FRIDAY-A|571P|Five Corners HCID #10B|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-03 09:52:38|2013-04-06 09:52:38|2013-04-03 15:05:02|-2.78|Flooding|3087475.14|13790151.02|29.62089459|-95.47748964|Voice In
77110|11621278-101000963205|3413 GREENRIDGE, HOUSTON TX 77057|HARRIS|J|MID WEST|0690440060234||||||491W||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-03 10:02:24|2013-04-06 10:02:23|2013-04-03 14:25:07|-2.82|Flooding|3083238.82|13828828.03|29.72756133|-95.48716144|Voice In
77598|11621469-101000963747|9806 WESTVIEW, HOUSTON TX 77055|HARRIS|A|SPRING BRANCH WEST|0802180000008|NW|NE|FRIDAY|4th Wednesday|FRIDAY-A|450X|Spring Branch MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-03 14:30:00|2013-04-06 14:30:00|2013-04-03 17:05:01|-2.89|Flooding|3067261.6|13851652.26|29.7916107|-95.53535015|Voice In
77599|11621468-101000963748|12418 WOODTHORPE, HOUSTON TX 77024|HARRIS|G|MEMORIAL|0922470000023|NW|NW|MONDAY|4th Wednesday|Monday-b|490E||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-03 14:30:19|2013-04-06 14:30:19|2013-04-03 16:05:01|-2.93|Flooding|3063507.25|13845644.67|||Voice In
77610|11621476-101000963762|12425 PERTHSHIRE, HOUSTON TX 77024|HARRIS|G|MEMORIAL|0922460000002|NW|NW|MONDAY|4th Wednesday|MONDAY-A|489H||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-03 14:38:25|2013-04-06 14:38:25|2013-04-03 16:05:01|-2.94|Flooding|3063256.34|13845217.11|29.77424749|-95.54857095|Voice In
77906|11621595-101000964085|Intersection 3000 N ELDRIDGE PKWY&13200 PATTERSON RD|Harris County|A|ADDICKS PARK TEN|||||||448Q||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-03 17:54:33|2013-04-06 17:54:33|2013-04-04 10:05:02|-2.33|Flooding|3041138.19678|13858608.8515|29.81283577|-95.61704244|Voice In
78006|11621633-101000964187|9702 CEDARDALE, HOUSTON TX 77055|HARRIS|A|SPRING BRANCH WEST|0804010000015|NW|NE|FRIDAY|4th Wednesday|FRIDAY-A|450X|Spring Branch MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-03 20:20:30|2013-04-06 20:20:30|2013-04-04 09:25:02|-2.46|Flooding|3069150.28|13851945.31|29.79226225|-95.52937075|Voice In
78267|11621745-101000964503|8107 LORRIE, HOUSTON TX 77025|HARRIS|K|BRAESWOOD|0803780000006|SW|SE|THURSDAY|3rd Monday|THURSDAY-A|532L||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-04 09:48:52|2013-04-07 09:48:52|2013-04-04 10:45:01|-2.96|Flooding|3104814.66|13817234.8|29.69389518|-95.42033018|Voice In
78566|11621839-101000964880|Intersection 4200 DAVENPORT ST&8700 SOUTHVIEW ST||D|SUNNYSIDE||SE|SE|FRIDAY|4th Thursday||533Y|HCID #10-A|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-04 13:31:44|2013-04-07 13:31:44|2013-04-08 08:45:01|0.8|Flooding|3122367.56024|13807831.4642|||Voice In
78675|11621882-101000965005|5807 BEVERLY HILL, HOUSTON TX 77057|HARRIS|J|MID WEST|0731870010005||||||491X||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-04 14:44:28|2013-04-07 14:44:28|2013-04-08 08:45:01|0.75|Flooding|3085237.32|13829591.35|29.72949241|-95.48082367|Voice In
80837|11622804-101000967470|9701 WESTVIEW, HOUSTON TX 77055|HARRIS|A|SPRING BRANCH WEST|0804010000014|NW|NE|FRIDAY|4th Wednesday|FRIDAY-A|450X|Spring Branch MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-08 09:32:37|2013-04-11 09:32:37|2013-04-09 09:05:01|-2.02|Flooding|3069146.78|13852079.25|29.7926307|-95.52936925|Voice In
82063|11623293-101000968873|5322 ASHBROOK, HOUSTON TX 77081|HARRIS|J|GULFTON|0222370010016|SW||TUESDAY|1st Friday||531B||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-09 09:55:48|2013-04-12 09:55:48|2013-04-09 16:25:02|-2.73|Flooding|3087549.68|13824454.65|||Voice In
83951|11623930-101000971015|Intersection 1700 CAPITOL ST&700 JACKSON ST|Harris County|I|DOWNTOWN|||||||493R|Houston Downtown|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-11 07:50:39|2013-04-14 07:50:39|2013-04-11 10:05:02|-2.91|Flooding|3124176.11535|13840267.4935|29.75556183|-95.35711656|Voice In
84055|11623968-101000971126|Intersection 2600 KARBACH ST&4800 RAMUS ST|Harris County|A|SPRING BRANCH EAST||NW|NE|FRIDAY|4th Thursday|FRIDAY-A|451U||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-11 09:22:10|2013-04-14 09:22:10|2013-04-11 10:45:01|-2.94|Flooding|3090518.43364|13859264.1776|29.81061928|-95.4613342|Voice In
84138|11624003-101000971219|8123 DOVER, HOUSTON TX 77061|HARRIS|I|GOLFCREST / BELLFORT / REVEILLE|0855140000011|SE|SE|TUESDAY|3rd Wednesday|TUESDAY-A|535T|HCID #9|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-11 10:11:44|2013-04-14 10:11:44|2013-04-11 16:05:02|-2.75|Flooding|3149926.62|13811939.19|29.67546733|-95.27884116|Voice In
84139|11624004-101000971220|209 LINWOOD, HOUSTON TX 77011|HARRIS|H|SECOND WARD|0150230000009|SE|SE|MONDAY|1st Wednesday|MONDAY-A|494U|East End MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-11 10:12:09|2013-04-14 10:12:09|2013-04-11 16:05:03|-2.75|Flooding|3137410.39|13835530.18|29.74140067|-95.3158976|Voice In
84167|11624012-101000971259|714 BURRESS, HOUSTON TX 77022|HARRIS|H|NORTHSIDE/NORTHLINE|0612150000149|NE||MONDAY|3rd Tuesday||453E|Greater Northside MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-11 10:25:09|2013-04-14 10:25:09|2013-04-11 13:45:01|-2.86|Flooding|3113363.19|13871032.06|||Voice In
84917|11624311-101000972123|Intersection 4318 MOWERY RD&11300 RUBIN ST|Harris County|D|SOUTH ACRES / CRESTMONT PARK||SE|SE|FRIDAY|4th Friday|FRIDAY-B|573L|HCID #10-A|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-11 23:30:23|2013-04-14 23:30:22|2013-04-12 16:05:01|-2.31|Flooding|3124770.59217|13796830.3015|29.63611419|-95.35950464|Voice In
85123|11624389-101000972377|Intersection 500 BRINGHURST ST&3500 CLINE ST|Harris County|B|GREATER FIFTH WARD||NE|NW|FRIDAY|1st Thursday|FRIDAY-B|494K||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-12 09:31:23|2013-04-15 09:30:00|2013-04-12 16:25:01|-2.71|Flooding|3131450.43971|13844551.5112|29.76671215|-95.33377846|Voice In
85483|11624536-101000972783|5637 LOCKE, HOUSTON TX 77056|HARRIS|G|GREATER UPTOWN|0780090010007||||||491T||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-12 13:34:24|2013-04-15 13:34:24|2013-04-17 08:39:44|1.8|Flooding|||||WEB
85639|11624588-101000972967|6631 STEARNS, HOUSTON TX 77021|HARRIS|D|GREATER OST / SOUTH UNION|0660950040008|SE|SW|TUESDAY|3rd Tuesday|TUESDAY-A|533L||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-12 15:45:10|2013-04-15 15:45:10|2013-04-17 08:38:11|1.7|Flooding|||29.69995951|-95.36752524|WEB
96934|11629002-101000986109|12411 WOODTHORPE, HOUSTON TX 77024|HARRIS|G|MEMORIAL|0922470000012|NW|NW|MONDAY|4th Wednesday|MONDAY-A|490E||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 16:36:09|2013-04-30 16:36:08|2013-04-28 20:05:01|-1.85|Flooding|||29.77490895|-95.54748379|WEB
96937|11629003-101000986112|5401 PAGEWOOD, HOUSTON TX 77056|HARRIS|G|GREATER UPTOWN|0835020000001|SW|SW|MONDAY|1st Friday|MONDAY-A|491Y||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 16:37:11|2013-04-30 16:37:11|2013-04-28 18:25:01|-1.93|Flooding|||29.72735669|-95.47102096|WEB
96993|11629029-101000986166|5537 SCHUMACHER, HOUSTON TX 77056|HARRIS|G|GREATER UPTOWN|0834970000010|SW|SW|MONDAY|1st Friday|MONDAY-A|491X||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 17:11:10|2013-04-30 17:11:10|2013-04-28 18:25:01|-1.95|Flooding|||29.7285121|-95.47575539|WEB
97003|11629033-101000986176|5529 SCHUMACHER, HOUSTON TX 77056|HARRIS|G|GREATER UPTOWN|0834970000008|SW|SW|MONDAY|1st Friday|MONDAY-A|491X||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 17:15:33|2013-04-30 17:15:33|2013-04-27 17:25:03|-2.99|Flooding|||29.72852051|-95.47531951|WEB
97007|11629036-101000986180|Intersection 5300 PAGEWOOD LN&3580 S RICE AVE|Harris County|G|GREATER UPTOWN||SW|SW|MONDAY|1st Friday|MONDAY-A|491Y|Uptown Houston MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 17:19:34|2013-04-30 17:19:34|2013-04-27 17:25:03|-3.0|Flooding|||29.72769358|-95.4681855|WEB
97011|11629039-101000986184|5505 SCHUMACHER, HOUSTON TX 77056|HARRIS|G|GREATER UPTOWN|0834970000002|SW|SW|MONDAY|1st Friday|MONDAY-A|491X||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 17:21:13|2013-04-30 17:21:13|2013-04-27 17:25:02|-3.0|Flooding|||29.7286334|-95.47405899|WEB
97014|11629040-101000986187|5542 JUDALON, HOUSTON TX 77056|HARRIS|G|GREATER UPTOWN|0834970000015|SW|SW|MONDAY|1st Friday|MONDAY-A|491X||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 17:21:34|2013-04-30 17:21:34|2013-04-28 18:25:01|-1.96|Flooding|||29.72817142|-95.47574758|Unknown
97025|11629049-101000986198|5409 PAGEWOOD, HOUSTON TX 77056|HARRIS|G|GREATER UPTOWN|0835020000003|SW|SW|MONDAY|1st Friday|MONDAY-A|491Y||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 17:28:06|2013-04-30 17:28:05|2013-04-27 17:45:01|-2.99|Flooding|||29.72731082|-95.47144867|Unknown
97038|11629058-101000986211|3618 DEAL, HOUSTON TX 77025|HARRIS|K|BRAESWOOD|0831980000017|SW|SW|THURSDAY|3rd Tuesday|Thursday-A|532P||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 17:36:25|2013-04-30 17:36:25|2013-04-29 01:05:01|-1.69|Flooding|||29.6892005|-95.43252145|WEB
97053|11629065-101000986226|5437 LINCREST, HOUSTON TX 77056|HARRIS|G|GREATER UPTOWN|0880110000013|SW|SW|MONDAY|1st Friday|MONDAY-A|491X||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 17:44:45|2013-04-30 17:44:45|2013-04-28 13:45:01|-2.17|Flooding|||29.72951256|-95.47334064|WEB
97056|11629067-101000986229|5502 SCHUMACHER, HOUSTON TX 77056|HARRIS|G|GREATER UPTOWN|0834920000022|SW|SW|MONDAY|1st Friday|MONDAY-A|491X||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 17:45:50|2013-04-30 17:45:49|2013-04-27 18:25:01|-2.97|Flooding|||29.7291423|-95.47394038|Unknown
97112|11629100-101000986285|5302 SCHUMACHER, HOUSTON TX 77056|HARRIS|G|GREATER UPTOWN|0834940000001|SW|SW|MONDAY|1st Friday|MONDAY-A|491Y||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 18:35:14|2013-04-30 18:35:14|2013-04-27 18:45:01|-2.99|Flooding|||29.72933979|-95.46843546|WEB
97170|11629138-101000986343|5325 PAGEWOOD, HOUSTON TX 77056|HARRIS|G|GREATER UPTOWN|0835010000007|SW|SW|MONDAY|1st Friday|MONDAY-A|491Y||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-27 19:45:13|2013-04-30 19:45:13|2013-04-27 20:05:01|-2.99|Flooding|||29.72742573|-95.46971571|WEB
97430|11629259-101000986605|1227 W DREW, HOUSTON TX 77006|HARRIS|C|NEARTOWN - MONTROSE|0370790000001|NW|NE|MONDAY|1st Wednesday|MONDAY-A|493N|Montrose Management District|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-28 07:21:41|2013-05-01 07:21:41|2013-04-29 09:25:01|-1.91|Flooding|||29.74954168|-95.3956728|Unknown
97526|11629306-101000986701|8502 LEADER, HOUSTON TX 77036|HARRIS|J|SHARPSTOWN|0900290000010|SW|SW|TUESDAY|2nd Monday|TUESDAY-B|530E|Sharpstown MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-28 09:15:41|2013-05-01 09:15:41|2013-04-28 20:45:01|-2.52|Flooding|3068448.96|13819914.51|29.70427295|-95.53457286|Voice In
97528|11629307-101000986703|8506 LEADER, HOUSTON TX 77036|HARRIS|J|SHARPSTOWN|0900290000011|SW|SW|TUESDAY|2nd Monday|TUESDAY-B|530E|Sharpstown MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-28 09:19:19|2013-05-01 09:19:18|2013-04-28 12:05:01|-2.88|Flooding|||29.70427112|-95.53481434|WEB
97569|11629325-101000986746|Intersection 6000 GOLD ST&2000 KELLEY ST|Harris County|H|EASTEX - JENSEN AREA||NE|NE|MONDAY|2nd Friday|MONDAY-B|453R|Greater Northside MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-28 09:57:40|2013-05-01 09:56:00|2013-04-28 18:25:01|-2.65|Flooding|3126040.59981|13861296.6526|29.8132038|-95.34917461|Voice In
97688|11629391-101000986866|515 BRINGHURST, HOUSTON TX 77020|HARRIS|B|GREATER FIFTH WARD|0090180000001|NE|NW|FRIDAY|1st Thursday|FRIDAY-B|494K||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-28 12:11:18|2013-05-01 12:11:17|2013-04-29 08:05:01|-2.17|Flooding|3131400.06|13844719.73|29.76708324|-95.33391716|Voice In
97700|11629404-101000986878|13521 DELUXE, HOUSTON TX 77047|HARRIS|D|SOUTH ACRES / CRESTMONT PARK|0790570010004|SE|SE|FRIDAY|4th Friday|FRIDAY-B|573V||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-28 12:21:39|2013-05-01 12:21:39|2013-04-29 13:05:02|-1.97|Flooding|3126089.47|13788398.35|29.61282375|-95.35618174|Voice In
97939|11629515-101000987119|7623 MEADOWGLEN, HOUSTON TX 77063|HARRIS|F|MID WEST|0892900000008||||||490Z||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-28 17:24:57|2013-05-01 17:24:57|2013-04-29 08:45:01|-2.36|Flooding|||29.73272654|-95.50409291|WEB
98025|11629553-101000987205|5962 SOUTHRIDGE, HOUSTON TX 77033|HARRIS|D|SOUTH PARK|0761530090006|SE|SE|FRIDAY|4th Wednesday|FRIDAY-A|534P||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-28 20:22:20|2013-05-01 20:22:20|2013-04-29 11:25:02|-2.37|Flooding|3134106.58|13815842.01|29.68756982|-95.32825103|Voice In
98027|11629554-101000987207|Intersection 6900 BURNING TREE DR&8500 LEADER ST|Harris County|J|SHARPSTOWN||SW|SW|TUESDAY|2nd Monday|TUESDAY-B|530E|Sharpstown MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-28 20:35:42|2013-05-01 20:35:42|2013-04-29 12:45:02|-2.33|Flooding|3068523.3277|13819821.0607|29.70401002|-95.5343474|Voice In
98118|11629583-101000987299|5978 SOUTHRIDGE, HOUSTON TX 77033|HARRIS|D|SOUTH PARK|0761530090002|SE|SE|FRIDAY|4th Wednesday|FRIDAY-A|534P||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-29 06:17:56|2013-05-02 06:17:56|2013-04-29 11:25:02|-2.79|Flooding|3134354.16|13815854.92|29.68758395|-95.32747036|Voice In
98148|11629593-101000987330|6322 CRESTVILLE, HOUSTON TX 77033|HARRIS|D|SOUTH PARK|0761530050001|SE|SE|FRIDAY|4th Wednesday|FRIDAY-A|534P||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-29 07:13:32|2013-05-02 07:13:32|2013-04-29 11:25:02|-2.83|Flooding|3134387.85|13816015.64|29.6880228|-95.32734843|Voice In
98253|11629646-101000987439|6030 SOUTHRIDGE, HOUSTON TX 77033|HARRIS|D|SOUTH PARK|0761530080001|SE|SE|FRIDAY|4th Wednesday|FRIDAY-A|534P||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-29 08:38:52|2013-05-02 08:38:52|2013-04-29 11:05:02|-2.9|Flooding|3135024.0|13815891.77|29.68762736|-95.32535805|Voice In
98434|11629740-101000987629|5974 SOUTHCREST, HOUSTON TX 77033|HARRIS|D|SOUTH PARK|0761530050008|SE|SW|FRIDAY|4th Wednesday|Friday-b|534P||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-29 10:03:02|2013-05-02 10:03:02|2013-04-29 16:25:01|-2.73|Flooding|3134140.63|13816259.84|||Voice In
98582|11629812-101000987787|Intersection 11900 CHIMNEY ROCK RD&5520 LUDINGTON DR|Harris County|K|WESTBURY|||||||571B||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-29 11:13:23|2013-05-02 11:13:23|2013-04-29 18:05:01|-2.71|Flooding|3085674.48041|13800794.518|29.65030101|-95.48214714|Voice In
98723|11629872-101000987938|5901 SOUTHRIDGE, HOUSTON TX 77033|HARRIS|D|SOUTH PARK|0761530050027|SE|SW|FRIDAY|4th Wednesday|Friday-b|534P||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-29 12:20:17|2013-05-02 12:20:17|2013-04-29 16:25:02|-2.83|Flooding|3133168.25|13815767.78|||Voice In
99299|11630124-101000988577|5826 CARTAGENA, HOUSTON TX 77035|HARRIS|K|WESTBURY|0860330000036|SW|SE|THURSDAY|2nd Thursday|THURSDAY-A|571A||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-29 18:13:23|2013-05-02 18:13:23|2013-04-30 09:25:02|-2.37|Flooding|3082976.78|13800817.22|29.65058627|-95.49063465|Voice In
99472|11630201-101000988753|Intersection 0 HOMESTEAD WB 610 N ENT RAMP&0 KELLEY ST&0 N LOOP FWY E|Harris County|B|TRINITY / HOUSTON GARDENS|||||||454V||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-30 06:43:25|2013-05-03 06:43:25|2013-05-01 09:05:01|-1.9|Flooding|3140174.09024|13860390.9634|29.80949394|-95.30471799|Voice In
99697|11630296-101000989011|9011 MCAVOY, HOUSTON TX 77074|HARRIS|C|BRAEBURN|0844210000007|SW|SW|TUESDAY|2nd Tuesday|Tuesday-b|530R||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-30 09:22:32|2013-05-03 09:22:32|2013-05-01 11:25:01|-1.91|Flooding|3078621.67|13811584.26|||Voice In
99731|11630313-101000989049|504 CAPLIN, HOUSTON TX 77022|HARRIS|H|NEAR NORTHSIDE|0630810010003|NE|NW|MONDAY|2nd Friday|Monday-A|453Q|Greater Northside MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-30 09:39:12|2013-05-03 09:39:12|2013-04-30 10:25:01|-2.97|Flooding|3120929.56|13861785.95|29.81498641|-95.36523623|Voice In
99780|11630343-101000989109|2302 DRYDEN, HOUSTON TX 77030|HARRIS|C|UNIVERSITY PLACE|0600450100001|SW|SE|TUESDAY|3rd Monday|TUESDAY-B|532G||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-30 10:06:32|2013-05-03 10:06:32|2013-05-01 09:25:01|-2.03|Flooding|||29.71368959|-95.41284863|WEB
99821|11630372-101000989153|719 WAX MYRTLE, HOUSTON TX 77079|HARRIS|G|MEMORIAL|0891790000004||||||489G||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-04-30 10:25:27|2013-05-03 10:25:27|2013-05-01 10:05:02|-2.01|Flooding|3057284.31|13846106.66|29.77717597|-95.56730581|Voice In
102005|11631328-101000991729|Intersection 6000 GOLD ST&2000 KELLEY ST|Harris County|H|EASTEX - JENSEN AREA||NE|NE|MONDAY|2nd Friday|MONDAY-B|453R|Greater Northside MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-05-02 11:13:21|2013-05-05 11:13:21|2013-05-03 17:25:01|-1.74|Flooding|3126040.59981|13861296.6526|29.8132038|-95.34917461|Voice In
102781|11631611-101000992654|Intersection 5900 S BRAESWOOD BLVD&9600 HILLCROFT AVE|Harris County|C|MEYERLAND AREA|||||||531S|HCID #5 (Brays Oaks)|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-05-03 08:48:03|2013-05-06 08:48:03|2013-05-07 08:45:02|1.0|Flooding|3081812.87396|13810643.2299|29.6776924|-95.49337|Voice In
103769|11631926-101000993803|Intersection 6000 GOLD ST&2000 KELLEY ST|Harris County|H|EASTEX - JENSEN AREA||NE|NE|MONDAY|2nd Friday|MONDAY-B|453R|Greater Northside MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-05-04 09:57:27|2013-05-07 09:57:27|2013-05-04 21:45:01|-2.51|Flooding|3126040.59981|13861296.6526|29.8132038|-95.34917461|Voice In
103860|11631973-101000993897|Intersection 26300 W HARDY RD&100 KELLY AVE&2 SPRING SCHOOL RD|Harris County|||||||||292Q||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-05-04 13:05:52|2013-05-07 13:05:52|2013-05-05 13:25:01|-1.99|Flooding|3101593.8531|13957031.5513|30.07841296|-95.41698208|Voice In
104290|11632168-101000994352|11504 CRAIGHEAD, HOUSTON TX 77025|HARRIS|K|WILLOW MEADOWS / WILLOWBEND AREA|0690070000012|SW|SW|THURSDAY|3rd Tuesday|Thursday-A|572A||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-05-05 21:28:32|2013-05-08 21:28:32|2013-05-06 09:45:02|-2.49|Flooding|3097076.45|13804240.81|29.65882636|-95.44593595|Voice In
